N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/Pre-fasta2ubam/fasta2ubam.nf` [distracted_wing] - revision: dbad6288c0
[93/dec67b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[82/c13acd] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[10/a24f05] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fe/4aa0c9] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d1/f0a52b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c4/a827a7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[01/ea82ce] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7f/95df1c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[85/7dae66] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e0/4eee09] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e7/81010f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[02/ea0acb] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e7/bc9f3e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[46/83650c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[98/b23317] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[af/b8786d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d6/58ec9b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[db/f66504] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[de/ebbd8c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[29/87561b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[1f/dec4a8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[28/3e978d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9f/02394c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[65/ca079a] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[98/f06be5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[35/2c40f7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[05/9ada15] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c6/82d73f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[38/37c8b4] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d9/3cd2a5] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5c/a53abe] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[10/65a40f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d3/66aeac] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5e/7aef9f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[7f/b034d3] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d3/51c895] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[ac/144d64] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e4/b29b1f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[39/f661d0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9f/386c73] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c2/05393e] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[50/6cc432] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[18/5ec389] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[de/1daa1f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cb/cf4041] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d1/50d2ec] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b7/4c7c47] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[93/e2f1aa] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[22/d6a4dd] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d6/0260a7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[29/9be64c] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[62/91d9e0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5c/ca8753] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d2/5a7df8] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[d0/7407c7] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[65/86e7ac] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[cd/b2d907] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[f6/67da02] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[9d/517f1b] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[75/692086] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[5b/12d722] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[4c/318b30] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[0f/135ebb] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[e0/fbca3d] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fc/6967c0] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[bc/ac1dbf] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[eb/ae0f1f] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[fc/b7e316] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[b1/868434] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
[c9/a921da] Submitted process > formatConversion:pairedFastqToUnmappedBam (NA12878)
