task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
46	aa/b633b9	4679846	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:36.340	1m 8s	29.2s	247.4%	1.2 GB	21 GB	506.9 MB	543.9 MB
44	2a/ae3f2f	4679842	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:35.013	2m 44s	1m 50s	155.6%	1.8 GB	21.8 GB	2.2 GB	2.5 GB
11	18/82ce52	4679843	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:35.387	2m 44s	1m 50s	183.0%	2.2 GB	22.3 GB	2.1 GB	2.5 GB
36	73/1a4c91	4679844	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:35.691	2m 43s	1m 51s	181.1%	2.1 GB	22.1 GB	2.1 GB	2.5 GB
45	e7/c85589	4679845	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:36.052	2m 43s	1m 51s	201.8%	2.8 GB	22.1 GB	2.2 GB	2.5 GB
30	f3/a210ce	4679850	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:37.652	2m 42s	2m 7s	153.3%	2.1 GB	22.2 GB	2.2 GB	2.5 GB
18	da/d8c172	4679854	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:38.895	2m 40s	2m 3s	169.9%	1.5 GB	21.5 GB	2.1 GB	2.5 GB
32	49/14505b	4679860	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:40.989	3m 3s	14.7s	225.9%	716.3 MB	19.5 GB	208.5 MB	191.1 MB
24	bf/5a3844	4679847	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:36.625	3m 13s	2m 20s	137.3%	2 GB	22.2 GB	2.2 GB	2.5 GB
21	bc/6091b7	4679848	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:36.937	3m 12s	2m 20s	149.6%	1.9 GB	21.9 GB	2.2 GB	2.5 GB
29	48/9c829b	4679849	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:37.268	3m 12s	2m 20s	125.6%	2.1 GB	22.2 GB	2.2 GB	2.5 GB
35	21/63fe89	4679851	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:37.932	3m 12s	2m 20s	138.1%	1.6 GB	21.5 GB	2.2 GB	2.5 GB
28	49/b37ff9	4679852	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:38.250	3m 12s	2m 19s	139.6%	1.7 GB	21.8 GB	2.2 GB	2.5 GB
22	5f/478ced	4679853	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:38.584	3m 11s	2m 20s	141.9%	1.4 GB	21.3 GB	2.2 GB	2.5 GB
41	c0/4b03ad	4679855	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:39.260	3m 11s	2m 10s	166.4%	1.4 GB	21.5 GB	2.2 GB	2.5 GB
47	b7/9d71eb	4679856	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:39.583	3m 11s	2m 4s	156.8%	1.6 GB	21.4 GB	2.1 GB	2.4 GB
39	21/2de4f5	4679872	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:45.339	3m 39s	34s	226.0%	1.1 GB	21.1 GB	511.6 MB	549.7 MB
38	3a/808dd6	4679857	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:40.024	4m 9s	1m 49s	220.8%	2.2 GB	22.2 GB	2.1 GB	2.5 GB
20	87/f8fb75	4679861	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:41.286	4m 13s	1m 24s	198.7%	2.5 GB	22.1 GB	1.6 GB	1.9 GB
10	d2/01e518	4679841	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:34.711	4m 44s	1m 13s	178.9%	2.1 GB	22.2 GB	1.2 GB	1.4 GB
9	4e/bce641	4679865	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:42.611	4m 41s	1m 36s	214.5%	3 GB	22.1 GB	2.2 GB	2.5 GB
5	ac/13629d	4679870	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:44.854	4m 39s	1m 12s	216.8%	1.2 GB	21.2 GB	1.2 GB	1.4 GB
13	42/50006a	4679858	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:40.331	5m 9s	1m 45s	169.3%	2.1 GB	22.2 GB	2.1 GB	2.5 GB
6	fa/731eb1	4679859	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:40.656	5m 13s	1m 49s	190.0%	2.4 GB	22.2 GB	2.1 GB	2.5 GB
48	2b/5b2cd3	4679873	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:45.562	5m 13s	1m 44s	234.4%	2.4 GB	22.2 GB	2.1 GB	2.5 GB
8	4c/be3179	4679862	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:41.606	5m 42s	1m 54s	150.0%	2.6 GB	22.2 GB	2.1 GB	2.5 GB
40	72/94298f	4679863	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:41.916	5m 42s	1m 54s	190.5%	1.6 GB	21.6 GB	2.1 GB	2.5 GB
71	49/154bb0	4679864	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:42.308	5m 42s	2m	164.7%	1.9 GB	22.1 GB	2.2 GB	2.5 GB
42	98/5ff3b6	4679866	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:43.057	5m 41s	1m 50s	191.4%	1.9 GB	22.2 GB	2.2 GB	2.5 GB
12	cf/613a03	4679867	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:43.537	5m 41s	2m 3s	175.5%	1.6 GB	22 GB	2.1 GB	2.5 GB
43	62/9717c3	4679868	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:44.018	5m 40s	1m 54s	189.1%	1.7 GB	21.7 GB	2.1 GB	2.5 GB
76	3a/892af7	4679869	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:44.558	5m 40s	2m 3s	179.3%	1.5 GB	21.5 GB	2.2 GB	2.5 GB
27	08/01f5ad	4679871	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:45.141	5m 39s	2m 3s	141.8%	1.6 GB	21.7 GB	2.2 GB	2.5 GB
4	01/40c6c8	4679875	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:45.968	5m 38s	1m 44s	212.5%	2.1 GB	22.4 GB	2.1 GB	2.5 GB
15	cb/bbb418	4679877	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:46.332	6m 8s	1m 24s	169.8%	2.1 GB	22.2 GB	1.6 GB	1.9 GB
26	70/52595c	4679892	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:49.654	6m 39s	11.6s	351.2%	710 MB	20.1 GB	204.3 MB	186.1 MB
37	48/4f188e	4679876	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:46.142	7m 3s	1m 53s	192.5%	1.4 GB	21.4 GB	2.2 GB	2.5 GB
23	c2/4cfcd2	4679878	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:46.582	7m 3s	1m 49s	196.7%	1.9 GB	22.2 GB	2.2 GB	2.5 GB
16	11/5bf251	4679879	formatConversion:pairedFastqToUnmappedBam (NA12878)	COMPLETED	0	2023-06-20 14:50:46.795	7m 3s	1m 46s	211.7%	2 GB	22.2 GB	2.1 GB	2.5 GB
