N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4MT2T.nf` [crazy_lichterman] - revision: b3005fa5b5
[f5/ff5833] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[28/6dcf11] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[83/c36c22] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[20/faee74] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[98/777318] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[71/f71678] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[eb/1a088d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a6/3d6fee] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[73/b9d193] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[be/5eba67] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[62/c7ebb7] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[12/0d8ae1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[15/75875d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[41/cd23b1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[73/83400e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ac/deac0b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ea/f05c34] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[37/6f47e1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ca/41b659] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ce/a59d97] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3b/7abfd8] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fa/ed710b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f4/d97df1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ba/5cf6ec] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[fd/c837c0] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[eb/c6611f] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[28/d53703] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[14/a1477d] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[ca/8751c4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[81/baccfc] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[11/eb7ab6] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[f6/7830c4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[fd/22521b] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[cb/9a3716] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[9a/8860fa] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[71/be78a6] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[81/4e0860] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[ea/667f2c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[f4/2f459f] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[96/248ed5] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[45/36e981] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d3/84710a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[b3/5d7154] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[a6/35602b] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[38/82b131] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[1a/c9a0dc] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[3a/77d90d] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0e/46e886] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[e8/c631b8] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[13/fb5c75] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[56/a1d6cf] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[4e/3a1b01] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[bf/02ae3a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[c9/8a4948] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[82/4363c7] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[8a/134cda] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[44/ed9eaa] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[4b/ba5fb4] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d4/cda90e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0a/2a5913] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[23/ad2f24] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[4b/acaca2] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d8/1b763d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[95/d328dc] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[63/636555] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[c7/e5ec52] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[98/ad04db] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[bc/390d6c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d4/32be43] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[c0/485f25] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[a4/d64e70] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[50/380148] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[00/533ff5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[88/5e2f3d] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[65/2e46f5] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[65/38406a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0d/6dcc7a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0b/ad7242] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[56/295e7f] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[ca/df802e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[55/2d22cf] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1c/0b1018] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7b/0d948c] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[98/4804e5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cc/4063be] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7b/388fbd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cb/af9cb7] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4a/7208c7] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[87/b19995] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[05/c1724d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[60/4007d6] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[9c/c47a8f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5c/b3f7dd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e1/120229] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[8f/94a7c3] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[03/72081e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[a4/93de37] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2a/b8903a] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[16/8fc8ac] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[02/2b80e1] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[6b/435200] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[45/9021f0] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[77/4cda6f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f5/000d1c] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[0f/a01bb2] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[e7/e68be1] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f0/5876d7] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[11/94cf2f] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ef/4128f5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[44/c43b8b] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[1d/ca4c7e] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[cc/eace51] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[0f/3a914d] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[49/b29c23] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f7/662498] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[16/fd17bd] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e6/7dfa09] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[de/61415a] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[d2/e53379] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[62/fa0da3] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e8/af96d5] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[15/7f0722] Cached process > preprocessing_mapping:mergeBamAlignment (NA12878)
[f2/bdb08b] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2c/8fe00e] Cached process > preprocessing_mapping:samToFastqBwaMem (NA12878)
