task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2675	4f/de1fe4	4684076	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:44:45.303	3h 41m 11s	30m 29s	184.9%	8.8 GB	31.3 GB	7 GB	1.9 GB
2609	8e/545d1a	4683952	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:16:30.089	1h 56m 15s	6m 19s	1566.6%	9.1 GB	31 GB	12.1 GB	6.9 GB
2615	06/666b63	4683955	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:16:45.253	1h 50m 30s	1m 1s	1316.4%	7.2 GB	30.4 GB	6 GB	963.5 MB
2663	4e/c39dc6	4684066	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:33:45.118	2h 30m 40s	6m 34s	1566.6%	9 GB	31 GB	12.1 GB	6.9 GB
2693	48/41afde	4684101	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 22:12:00.535	4h 14m 46s	6m 5s	1565.8%	8.9 GB	31 GB	12 GB	6.9 GB
2640	7a/577c48	4684067	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:34:45.365	2h 32m 15s	2m 38s	1515.2%	9 GB	31 GB	7.6 GB	2.5 GB
2613	0a/525efd	4684008	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:22:45.769	1h 56m 15s	6m 28s	1568.3%	9 GB	30.9 GB	12 GB	6.9 GB
2679	34/25b82d	4684091	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:59:50.321	4h 1m 31s	6m 25s	1566.7%	9 GB	31.5 GB	12.1 GB	6.9 GB
2673	9a/87c636	4684088	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:57:45.328	3h 55m 51s	6m 15s	1565.1%	8.9 GB	31 GB	12 GB	6.8 GB
2607	16/e22a6f	4683942	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:09:20.049	1h 50m 55s	6m 19s	1565.4%	9 GB	30.8 GB	12.1 GB	6.9 GB
2656	bd/cbbe9f	4684065	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:31:50.184	2h 25m 5s	6m 28s	1566.0%	8.9 GB	31.1 GB	12 GB	6.9 GB
2659	a3/09f90a	4684348	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-23 04:32:47.234	2h 45m 41s	6m 10s	1569.4%	9 GB	31.8 GB	12.1 GB	6.9 GB
2611	02/286de3	4683951	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:15:30.083	1h 57m 15s	6m 21s	1567.3%	8.9 GB	31 GB	12 GB	6.9 GB
2622	c8/65e136	4684011	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:28:45.201	1h 48m 10s	2m 20s	1505.0%	9 GB	31.8 GB	7.7 GB	2.5 GB
2657	fb/7cb210	4684072	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:39:45.197	2h 55m 1s	6m 18s	1564.9%	8.9 GB	31.1 GB	12.1 GB	6.9 GB
2691	0b/2b483b	4684093	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 22:02:45.357	4h 56s	1m 35s	1420.9%	8.7 GB	31.2 GB	6.6 GB	1.5 GB
2662	7a/d2e18a	4684077	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:44:45.603	3h 30m 15s	1m 48s	1441.5%	8.9 GB	31.3 GB	6.9 GB	1.8 GB
2638	fd/3f445e	4684070	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:37:45.314	2h 43m	6m 35s	1567.3%	9.1 GB	31.3 GB	12.1 GB	6.9 GB
2667	fb/70820e	4684081	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:47:50.642	3h 33m 50s	5m 38s	1563.5%	8.8 GB	31.3 GB	12 GB	6.8 GB
2644	9e/401fce	4684083	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:49:50.234	4h 58m 56s	1h 22m 31s	232.6%	8.9 GB	31.1 GB	12.1 GB	6.9 GB
2646	d5/288bf5	4684064	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:31:45.121	2h 19m	3m 27s	1515.4%	9 GB	31 GB	8.6 GB	3.4 GB
2631	e2/dcaef3	4684012	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:28:45.541	1h 53m 25s	6m 19s	1563.3%	8.9 GB	31 GB	12 GB	6.8 GB
2604	91/917332	4683939	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:04:34.991	1h 54m 10s	6m 48s	1569.5%	9 GB	30.8 GB	12.1 GB	6.9 GB
2627	e8/364197	4683954	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:16:30.760	2h 4m 35s	14m 33s	768.5%	9 GB	30.4 GB	12.1 GB	6.9 GB
2636	29/72ddd4	4684010	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:27:35.156	1h 51m 10s	6m 22s	1566.1%	9 GB	31.3 GB	12.1 GB	6.9 GB
2633	6f/d610ff	4684013	preprocessing_mapping:samToFastqBwaMem (NA12878)	CACHED	0	2023-06-22 21:28:45.813	1h 54m	5m 49s	1564.3%	8.9 GB	31.5 GB	12 GB	6.8 GB
