N E X T F L O W  ~  version 21.10.6
Launching `/czlab/xuwen/scripts/PreP-ubam2bam-BWA-variant-GATK4/processing-for-variant-discovery-gatk4Mhg38.nf` [sleepy_poitras] - revision: 7b5debd944
[4d/58d11c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d5/c79f03] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e8/6014bd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f8/d0a009] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[49/64325b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f7/a0070f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[6b/77b9ff] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[be/85a742] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b2/f28abf] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4f/fa591e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3a/ea86e3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e2/b5f050] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[88/433572] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[41/b2e481] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f2/38d7e3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cd/e40a7b] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[e2/f86ac5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[4f/542f3c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[08/0a028c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[2c/3daa70] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b5/972b58] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[74/b31e5f] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1f/8a9a24] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b7/7cff51] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[52/2ba8e4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[b7/04fc43] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[88/e409a4] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[1e/7bcef8] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[7c/aaf53e] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[08/61e63d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[da/3d158d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[cb/d191bd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[d5/090bcd] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[85/065d4d] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[3d/9dc988] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[f9/61d940] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[38/4995a3] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ad/9b414c] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[5c/fb21f5] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ef/ea6be9] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[ad/81f840] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
[93/ce8b80] Submitted process > preprocessing_mapping:samToFastqBwaMem (NA12878)
